Restaurant,Rating,Reviews,Price,City,State,ZipCode,Category
Union Square Cafe,4.0,1092,3,New York,NY,10003,American (New)
Pearl Oyster Bar,4.0,789,3,New York,NY,10014,Seafood
Maison Premiere,4.0,1040,3,Brooklyn,NY,11249,Seafood
Blue Ribbon Sushi,4.0,1010,3,New York,NY,10012,Sushi Bars
Hangawi,4.0,1027,3,New York,NY,10016,Vegetarian
Boucherie West Village,4.5,601,3,New York,NY,10014,French
The Flatiron Room,4.5,680,3,New York,NY,10010,Lounges
Flex Mussels,4.0,949,3,New York,NY,10028,Seafood
Gramercy Tavern,4.5,2577,4,New York,NY,10003,American (New)
Peter Luger,4.0,4899,4,Brooklyn,NY,11211,Steakhouses
Le Bernardin,4.5,2222,4,New York,NY,10019,French
Eleven Madison Park,4.5,1874,4,New York,NY,10010,American (New)
Del Frisco's Double Eagle Steakhouse,4.5,2575,4,New York,NY,10020,Steakhouses
Morimoto,4.0,2839,4,New York,NY,10011,Japanese
Daniel,4.5,1433,4,New York,NY,10065,French
Per Se,4.5,1445,4,New York,NY,10019,French
Jean-Georges,4.5,1735,4,New York,NY,10023,French
Keens Steakhouse,4.0,2208,4,New York,NY,10018,Steakhouses
Gotham Bar and Grill,4.5,1462,4,New York,NY,10003,American (New)
Sushi Yasuda,4.0,1977,4,New York,NY,10017,Japanese
Marea,4.0,1799,4,New York,NY,10019,Italian
Sushi Nakazawa,4.5,1168,4,New York,NY,10014,Japanese
Babbo,4.0,2249,4,New York,NY,10011,Italian
Quality Meats,4.0,1767,4,New York,NY,10019,Seafood
Del Posto,4.0,1321,4,New York,NY,10011,Italian
Jungsik,4.5,496,4,New York,NY,10013,Korean
Blue Hill,4.5,906,4,New York,NY,10011,American (New)
The Modern,4.5,869,4,New York,NY,10019,American (New)
Ai Fiori,4.0,1114,4,New York,NY,10018,Italian
The River Café,4.0,961,4,Brooklyn,NY,11201,American (New)
Kura,4.5,401,4,New York,NY,10009,Japanese
Churrascaria Plataforma,4.0,1236,4,New York,NY,10019,Brazilian
Craft,4.0,942,4,New York,NY,10003,American (New)
Benjamin Steakhouse,4.0,905,4,New York,NY,10017,Steakhouses
Chef's Table at Brooklyn Fare,4.5,454,4,New York,NY,10018,Japanese
Nobu Fifty Seven,4.0,1052,4,New York,NY,10019,Sushi Bars
Strip House,4.0,908,4,New York,NY,10003,Steakhouses
One If By Land Two If By Sea,3.5,1302,4,New York,NY,10014,American (New)
Kyo Ya,4.5,429,4,New York,NY,10009,Japanese
Tanoshi Sushi Sake Bar,4.5,540,4,New York,NY,10021,Sushi Bars
Aquavit,4.0,687,4,New York,NY,10022,Scandinavian
Wolfgang's Steakhouse,4.0,873,4,New York,NY,10016,Steakhouses
BLT Prime,4.0,761,4,New York,NY,10010,Steakhouses
Momofuku Ko,4.5,241,4,New York,NY,10003,American (New)
Carbone,4.0,759,4,New York,NY,10012,Italian
Delmonico's,4.0,893,4,New York,NY,10004,Steakhouses
Mastro's Steakhouse,4.5,510,4,New York,NY,10019,Steakhouses
Cafe Boulud,4.0,623,4,New York,NY,10021,French
15 East Restaurant,4.0,597,4,New York,NY,10003,Japanese
Estiatorio Milos,4.0,774,4,New York,NY,10019,Seafood
Gabriel Kreuther,4.5,298,4,New York,NY,10036,Bars
Sushi Azabu,4.0,401,4,New York,NY,10013,Sushi Bars
Indian Accent,4.5,408,4,New York,NY,10019,Indian
Aureole,4.0,818,4,New York,NY,10036,American (New)
