Restaurant,ID,Rating,Reviews,Price,City,State,ZipCode,Category
McDonald's,ebWNwxTLRazQlcNRc5VoRQ,2.5,5,1,Blair,NE,68008,Fast Food
McDonald's,3XaAjJE1MWnk9PkXFq74wQ,2,4,4,Cedar Falls,IA,50613,Fast Food
McDonald's,Y3TF15Rc1D7u4_1Cik2ojw,2,5,4,Council Bluffs,IA,51501,Fast Food
McDonald's,Y3TF15Rc1D7u4_1Cik2ojw,2,5,4,Council Bluffs,IA,51501,Fast Food
McDonald's,Y3TF15Rc1D7u4_1Cik2ojw,2,5,4,Council Bluffs,IA,51501,Fast Food
McDonald's,Y3TF15Rc1D7u4_1Cik2ojw,2,5,4,Council Bluffs,IA,51501,Fast Food
McDonald's,3iSIjdszRvwt9Vu8r6-vng,1.5,11,1,Gretna,NE,68028,Burgers
McDonald's,sbgVqFkpueGrwbWJJSWEBQ,2,5,1,Newton,IA,50208,Fast Food
McDonald's,vu0SQKKcqovQr_3QAejo8g,2,14,1,Osceola,IA,50213,Fast Food
McDonald's,_WVZfycc586EezmfkVVGAA,1.5,22,1,Stuart,IA,50250,Burgers
McSorleys Old Ale House,QArou0r7CmLNPWYRA9ecog,4,1644,1,New York,NY,10003,Dive Bars
Melba's,4rWJGwb3rjDoZHA0AECa5A,4,845,2,New York,NY,10026,Southern
Mel's Bar & Lounge,bcvogoGXe9ffwnr_zthkcA,5,1,1,Scribner,NE,68057,Bars
Mel's Diner,REbelSx0d1VgPv25CnKmRg,4.5,5,1,Brayton,IA,50042,Diners
